date,season,normalized_season,round_number,match_number,home_team,away_team,home_goals,away_goals,official_sign,is_pleno15,official_round_id,match_id,home_team_raw,away_team_raw,home_team_normalized,away_team_normalized,home_team_canonical,away_team_canonical,mapping_status,competition,competition_type,data_quality,source,status,has_pleno15,total_matches,result_by_draw,kickoff,imported_at,prize_info_available,revenue_available
2008-09-14,2008-2009,2008-2009,4,9,Mallorca,Osasuna,1,1,X,false,official-2008-2009-4,official-2008-2009-4-9,Mallorca,Osasuna,mallorca,osasuna,Mallorca,Osasuna,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,10,Las Palmas,R. Zaragoza,2,2,X,false,official-2008-2009-4,official-2008-2009-4-10,Las Palmas,R. Zaragoza,laspalmas,zaragoza,Las Palmas,Zaragoza,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,11,Real Sociedad,Ucam Murcia,2,0,1,false,official-2008-2009-4,official-2008-2009-4-11,Real Sociedad,Ucam Murcia,realsociedad,ucammurcia,Real Sociedad,UCAM Murcia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,12,Salamanca,Xerez,2,1,1,false,official-2008-2009-4,official-2008-2009-4-12,Salamanca,Xerez,salamanca,xerez,Salamanca,Xerez,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,13,Celta,C. Gimnastic,0,2,2,false,official-2008-2009-4,official-2008-2009-4-13,Celta,C. Gimnastic,celta,cgimnastic,Celta,C. Gimnastic,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,14,Elche,Tenerife,2,4,2,false,official-2008-2009-4,official-2008-2009-4-14,Elche,Tenerife,elche,tenerife,Elche,Tenerife,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,15,Villarreal,Deportivo,1,0,1,true,official-2008-2009-4,official-2008-2009-4-15,Villarreal,Deportivo,villarreal,deportivo,Villarreal,Deportivo,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-21,2008-2009,2008-2009,5,1,Almería,Málaga,1,0,1,false,official-2008-2009-5,official-2008-2009-5-1,Almería,Málaga,almeria,malaga,Almeria,Malaga,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-21T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-21,2008-2009,2008-2009,5,2,Athletic de Bilbao,Valladolid,2,0,1,false,official-2008-2009-5,official-2008-2009-5-2,Athletic de Bilbao,Valladolid,athletic,valladolid,Athletic Club,Valladolid,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-21T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-21,2008-2009,2008-2009,5,3,Atlético de Madrid,Recreativo,4,0,1,false,official-2008-2009-5,official-2008-2009-5-3,Atlético de Madrid,Recreativo,atleticomadrid,recreativo,Atletico Madrid,Recreativo,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-21T00:00,2026-06-18T06:17:36.532926Z,false,false
